epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.932,0.70527,0.81774,1.09072,0.92334,0.86992,0.94852,0.85853,0.51788,0.54546,0.97129,0.00025588,0.00025588,0.00025588
2,396.094,0.71485,0.81691,1.08981,0.90089,0.84676,0.93346,0.83974,0.54417,0.66758,0.98798,0.000486858,0.000486858,0.000486858
3,583.452,0.73875,0.85094,1.10501,0.88672,0.83909,0.93142,0.81497,0.60841,0.66449,1.05432,0.00069246,0.00069246,0.00069246
4,766.592,0.73796,0.83311,1.09831,0.89698,0.84054,0.92167,0.81271,0.60217,0.69624,1.04061,0.000654804,0.000654804,0.000654804
5,949.922,0.71991,0.79962,1.09394,0.90317,0.87708,0.94253,0.84242,0.5587,0.60529,1.00801,0.000616738,0.000616738,0.000616738
6,1139.74,0.71118,0.76385,1.08448,0.91216,0.84754,0.94207,0.84523,0.55262,0.58691,0.99717,0.000578672,0.000578672,0.000578672
7,1329.52,0.69642,0.73368,1.07694,0.91896,0.8597,0.95162,0.8532,0.55666,0.55828,1.01055,0.000540607,0.000540607,0.000540607
8,1518.8,0.68619,0.70531,1.07025,0.90091,0.89521,0.95462,0.86116,0.52486,0.5094,0.98059,0.000502541,0.000502541,0.000502541
9,1703.61,0.67946,0.68688,1.06669,0.91645,0.87441,0.95414,0.86455,0.52809,0.5213,0.97852,0.000464476,0.000464476,0.000464476
10,1887.84,0.66869,0.66484,1.06065,0.92636,0.87619,0.9565,0.86655,0.5146,0.50489,0.97169,0.000426411,0.000426411,0.000426411
11,2064.54,0.52727,0.48463,0.98834,0.92546,0.89739,0.96171,0.87392,0.5067,0.47573,0.96385,0.000388345,0.000388345,0.000388345
12,2239.66,0.5113,0.46655,0.9755,0.9404,0.89451,0.96782,0.88616,0.48868,0.44394,0.94328,0.00035028,0.00035028,0.00035028
13,2417.63,0.49822,0.43465,0.97061,0.93296,0.90887,0.96719,0.88981,0.48113,0.44451,0.94233,0.000312214,0.000312214,0.000312214
14,2599.34,0.4901,0.41805,0.96243,0.93884,0.90852,0.97005,0.89342,0.48323,0.42434,0.94832,0.000274148,0.000274148,0.000274148
15,2775.61,0.48068,0.39239,0.95804,0.91377,0.92276,0.96885,0.89347,0.46467,0.41396,0.93257,0.000236083,0.000236083,0.000236083
16,2952.83,0.47134,0.37674,0.95223,0.94691,0.91077,0.9723,0.89987,0.46447,0.39888,0.92951,0.000198018,0.000198018,0.000198018
17,3131.06,0.4627,0.35967,0.94698,0.9425,0.91884,0.97298,0.90152,0.45652,0.39593,0.9212,0.000159952,0.000159952,0.000159952
18,3308.77,0.45275,0.34483,0.94362,0.95376,0.90632,0.97144,0.90339,0.44751,0.39988,0.91362,0.000121887,0.000121887,0.000121887
19,3483.06,0.44568,0.32946,0.93571,0.95014,0.92358,0.97371,0.90651,0.44608,0.3757,0.91338,8.3821e-05,8.3821e-05,8.3821e-05
20,3661.84,0.4367,0.31731,0.93012,0.94505,0.92568,0.97495,0.90863,0.44208,0.37466,0.90884,4.57555e-05,4.57555e-05,4.57555e-05
