epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,4747.06,0.64207,0.581,1.03796,0.92905,0.89854,0.95953,0.87626,0.53671,0.53672,0.96846,0.000403571,0.000403571,0.000403571
26,4935.67,0.63644,0.57797,1.03662,0.94596,0.89652,0.9659,0.88336,0.52829,0.51497,0.96682,0.000388345,0.000388345,0.000388345
27,5123.67,0.64658,0.58192,1.04147,0.93778,0.90658,0.96109,0.87781,0.53865,0.50545,0.97477,0.000373119,0.000373119,0.000373119
28,5313.67,0.62979,0.56587,1.03352,0.93197,0.90312,0.95833,0.87441,0.53684,0.53987,0.974,0.000357893,0.000357893,0.000357893
29,5497.68,0.62963,0.56137,1.03357,0.92325,0.90249,0.96128,0.87782,0.53238,0.51632,0.97366,0.000342666,0.000342666,0.000342666
30,5684.04,0.62805,0.54766,1.0294,0.91532,0.90856,0.95866,0.87766,0.52772,0.52813,0.96583,0.00032744,0.00032744,0.00032744
31,5872.98,0.62657,0.55126,1.0284,0.93115,0.90522,0.96243,0.88457,0.5206,0.51681,0.96194,0.000312214,0.000312214,0.000312214
32,6066.45,0.61227,0.53364,1.02426,0.93495,0.91269,0.96568,0.88617,0.51544,0.49659,0.95329,0.000296988,0.000296988,0.000296988
33,6259.07,0.6147,0.53035,1.02295,0.93431,0.90868,0.96335,0.88249,0.53155,0.50742,0.9679,0.000281762,0.000281762,0.000281762
34,6446.53,0.60932,0.52705,1.022,0.92996,0.91466,0.96561,0.8864,0.51992,0.49404,0.96058,0.000266535,0.000266535,0.000266535
35,6637.87,0.60462,0.51951,1.02004,0.9289,0.91844,0.96638,0.8895,0.51678,0.48515,0.96076,0.000251309,0.000251309,0.000251309
36,6829.42,0.60298,0.51185,1.0144,0.93617,0.90965,0.96419,0.8858,0.5108,0.48974,0.95008,0.000236083,0.000236083,0.000236083
37,7020.39,0.59989,0.51001,1.01595,0.93652,0.91694,0.96669,0.89082,0.51452,0.4738,0.95991,0.000220857,0.000220857,0.000220857
38,7220.1,0.6012,0.50235,1.01319,0.94196,0.90261,0.96569,0.88762,0.50859,0.48917,0.94978,0.000205631,0.000205631,0.000205631
39,7408.31,0.60074,0.49842,1.01325,0.93149,0.92223,0.96796,0.89268,0.50025,0.47061,0.94777,0.000190404,0.000190404,0.000190404
40,7603.23,0.59377,0.49115,1.01061,0.92902,0.9207,0.96624,0.89087,0.50189,0.47776,0.94378,0.000175178,0.000175178,0.000175178
41,7789.09,0.47706,0.3757,0.95023,0.93213,0.9182,0.96493,0.89203,0.49418,0.48236,0.94092,0.000159952,0.000159952,0.000159952
42,7967.28,0.46928,0.35871,0.94244,0.94493,0.91735,0.96723,0.89584,0.48973,0.46409,0.93506,0.000144726,0.000144726,0.000144726
43,8142.68,0.46342,0.35142,0.94219,0.94378,0.90795,0.96686,0.89643,0.4861,0.46973,0.93323,0.0001295,0.0001295,0.0001295
44,8320.17,0.45735,0.34669,0.93855,0.95406,0.90609,0.96537,0.89636,0.4893,0.47689,0.93923,0.000114273,0.000114273,0.000114273
45,8497.03,0.45538,0.33885,0.93473,0.95253,0.90734,0.96919,0.90073,0.48417,0.467,0.93075,9.90472e-05,9.90472e-05,9.90472e-05
46,8675.03,0.45172,0.33438,0.93294,0.94821,0.91137,0.96674,0.89932,0.48219,0.47176,0.93474,8.3821e-05,8.3821e-05,8.3821e-05
47,8855.96,0.44888,0.32682,0.93186,0.95686,0.90896,0.96726,0.90037,0.4787,0.46685,0.93054,6.85948e-05,6.85948e-05,6.85948e-05
48,9033.09,0.44339,0.32265,0.92764,0.95152,0.90517,0.9672,0.901,0.47795,0.46869,0.92883,5.33686e-05,5.33686e-05,5.33686e-05
49,9210.12,0.43739,0.31604,0.92271,0.94821,0.91608,0.96644,0.90023,0.47816,0.47126,0.93123,3.81424e-05,3.81424e-05,3.81424e-05
50,9388.58,0.4353,0.31276,0.92383,0.95455,0.9115,0.96747,0.90167,0.47602,0.46949,0.92869,2.29162e-05,2.29162e-05,2.29162e-05
