epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.664,0.68843,0.76401,1.07647,0.90913,0.8645,0.94489,0.84897,0.55997,0.63473,0.9859,0.000255428,0.000255428,0.000255428
2,346.227,0.70375,0.77336,1.0747,0.86697,0.8305,0.92518,0.82358,0.60323,0.73218,1.02375,0.000501628,0.000501628,0.000501628
3,515.862,0.71562,0.7877,1.08143,0.88899,0.84948,0.93422,0.82383,0.62823,0.69819,1.04957,0.000737678,0.000737678,0.000737678
4,685.189,0.72711,0.81148,1.08984,0.88111,0.8456,0.92115,0.80287,0.65188,0.79284,1.06386,0.000723321,0.000723321,0.000723321
5,852.58,0.72409,0.77522,1.08512,0.88414,0.82955,0.91338,0.80848,0.62036,0.77046,1.04145,0.000708095,0.000708095,0.000708095
6,1021.49,0.70679,0.75242,1.07719,0.92731,0.84859,0.94483,0.84534,0.59425,0.65418,1.01917,0.000692869,0.000692869,0.000692869
7,1190.73,0.70161,0.73213,1.07295,0.90644,0.85228,0.93844,0.83743,0.60501,0.65233,1.02726,0.000677643,0.000677643,0.000677643
8,1360.8,0.68451,0.70922,1.06593,0.88739,0.84355,0.93969,0.84112,0.59379,0.67063,1.02282,0.000662417,0.000662417,0.000662417
9,1530.42,0.68293,0.69,1.06456,0.93019,0.86716,0.95015,0.85699,0.57067,0.58631,1.00476,0.00064719,0.00064719,0.00064719
10,1699.54,0.68095,0.68314,1.06189,0.92702,0.85723,0.94296,0.84788,0.57596,0.60871,1.00863,0.000631964,0.000631964,0.000631964
11,1866.7,0.67097,0.66091,1.05917,0.91048,0.8647,0.94762,0.8533,0.56998,0.64883,1.00138,0.000616738,0.000616738,0.000616738
12,2032.83,0.66477,0.64894,1.0525,0.90975,0.8585,0.94425,0.85408,0.57479,0.63519,1.00997,0.000601512,0.000601512,0.000601512
13,2200.26,0.66168,0.64218,1.05077,0.92561,0.87705,0.95102,0.8638,0.55763,0.59413,0.99479,0.000586286,0.000586286,0.000586286
14,2367.36,0.65386,0.62612,1.04772,0.91399,0.88617,0.95266,0.86893,0.55205,0.59586,0.9876,0.000571059,0.000571059,0.000571059
15,2535.17,0.64786,0.61737,1.0435,0.92854,0.89026,0.96173,0.87492,0.55382,0.54441,0.98565,0.000555833,0.000555833,0.000555833
16,2702.06,0.64809,0.60608,1.04178,0.93165,0.89267,0.96356,0.87467,0.55372,0.5567,0.98975,0.000540607,0.000540607,0.000540607
17,2870.38,0.63984,0.59571,1.04171,0.91185,0.89259,0.95228,0.86584,0.54593,0.59006,0.9806,0.000525381,0.000525381,0.000525381
18,3037.22,0.64068,0.58876,1.04093,0.9267,0.89194,0.95333,0.86896,0.54394,0.60125,0.97918,0.000510155,0.000510155,0.000510155
19,3204.92,0.63164,0.57716,1.03768,0.92965,0.89859,0.96262,0.88184,0.52416,0.53525,0.96567,0.000494928,0.000494928,0.000494928
20,3372.22,0.63271,0.57213,1.03669,0.93081,0.879,0.95844,0.87345,0.54157,0.55699,0.98013,0.000479702,0.000479702,0.000479702
21,3536.75,0.62643,0.56438,1.02973,0.93636,0.89579,0.96012,0.88137,0.52652,0.55803,0.96873,0.000464476,0.000464476,0.000464476
