epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,3704.02,0.62505,0.556,1.02951,0.92564,0.90124,0.96323,0.88673,0.51603,0.50464,0.96454,0.00044925,0.00044925,0.00044925
23,3870.83,0.61325,0.54276,1.02661,0.9194,0.90682,0.96132,0.88295,0.52314,0.52509,0.96958,0.000434024,0.000434024,0.000434024
24,4034.53,0.60972,0.53819,1.0221,0.92325,0.92149,0.96215,0.88752,0.5049,0.49127,0.95706,0.000418797,0.000418797,0.000418797
25,4197.78,0.60553,0.52506,1.02063,0.93041,0.9033,0.96437,0.8914,0.50955,0.52634,0.95686,0.000403571,0.000403571,0.000403571
26,4361.74,0.60345,0.5253,1.02218,0.94821,0.90503,0.96629,0.89401,0.50126,0.47862,0.94892,0.000388345,0.000388345,0.000388345
27,4525.74,0.60347,0.51539,1.01952,0.94324,0.89681,0.96378,0.88948,0.51259,0.47494,0.95862,0.000373119,0.000373119,0.000373119
28,4688.6,0.59733,0.51007,1.01765,0.94353,0.90706,0.96875,0.89765,0.50007,0.49071,0.94416,0.000357893,0.000357893,0.000357893
29,4851.79,0.5963,0.50493,1.01718,0.93629,0.9109,0.96717,0.89465,0.50014,0.49006,0.94954,0.000342666,0.000342666,0.000342666
30,5014.86,0.58826,0.49633,1.01199,0.9437,0.90562,0.96778,0.89759,0.49424,0.4646,0.9459,0.00032744,0.00032744,0.00032744
31,5178.49,0.59267,0.49544,1.01134,0.93815,0.91688,0.96859,0.89958,0.49622,0.47431,0.94758,0.000312214,0.000312214,0.000312214
32,5341.86,0.5875,0.49015,1.01067,0.94801,0.90863,0.96832,0.89952,0.49088,0.46029,0.94307,0.000296988,0.000296988,0.000296988
33,5505.29,0.58317,0.4863,1.00958,0.94077,0.91543,0.97003,0.90118,0.49577,0.47099,0.9492,0.000281762,0.000281762,0.000281762
34,5670.89,0.58149,0.48173,1.00612,0.95073,0.90771,0.96889,0.90378,0.48449,0.47075,0.94222,0.000266535,0.000266535,0.000266535
35,5835.9,0.57884,0.47707,1.00687,0.9447,0.91291,0.9691,0.90273,0.48385,0.46237,0.94192,0.000251309,0.000251309,0.000251309
36,6000.07,0.57376,0.46267,1.00093,0.95354,0.90384,0.96918,0.90471,0.47855,0.46138,0.93686,0.000236083,0.000236083,0.000236083
37,6165.65,0.57259,0.46388,1.00162,0.95189,0.9071,0.97047,0.90556,0.48641,0.44609,0.93926,0.000220857,0.000220857,0.000220857
38,6329.08,0.57095,0.45978,1.00055,0.94599,0.92267,0.97115,0.90616,0.4807,0.44426,0.93738,0.000205631,0.000205631,0.000205631
39,6492.66,0.56175,0.44917,0.99786,0.94362,0.91309,0.97008,0.90478,0.48023,0.45699,0.9388,0.000190404,0.000190404,0.000190404
40,6654.94,0.56518,0.44949,0.99865,0.93949,0.92271,0.96967,0.9054,0.4825,0.44336,0.93945,0.000175178,0.000175178,0.000175178
41,6813.58,0.43837,0.3233,0.92834,0.95832,0.90894,0.9701,0.90611,0.47909,0.45137,0.93487,0.000159952,0.000159952,0.000159952
42,6969.16,0.43324,0.31154,0.9253,0.95659,0.90924,0.96972,0.90749,0.47491,0.45537,0.93811,0.000144726,0.000144726,0.000144726
43,7126.61,0.42483,0.29958,0.92223,0.95553,0.91318,0.97139,0.90888,0.47807,0.44854,0.93514,0.0001295,0.0001295,0.0001295
44,7283.98,0.42282,0.29418,0.92204,0.95206,0.91191,0.96927,0.90784,0.47183,0.44797,0.9314,0.000114273,0.000114273,0.000114273
45,7441.52,0.41867,0.28809,0.91777,0.95173,0.91289,0.97043,0.91112,0.4655,0.43641,0.92706,9.90472e-05,9.90472e-05,9.90472e-05
46,7599.57,0.41457,0.28164,0.91683,0.95412,0.91596,0.97045,0.91229,0.46142,0.43173,0.92312,8.3821e-05,8.3821e-05,8.3821e-05
47,7756.48,0.41241,0.27858,0.91247,0.94866,0.92285,0.97136,0.912,0.46714,0.43562,0.92665,6.85948e-05,6.85948e-05,6.85948e-05
48,7913.58,0.40757,0.27411,0.91085,0.95249,0.91611,0.97075,0.91279,0.46308,0.44575,0.92355,5.33686e-05,5.33686e-05,5.33686e-05
49,8072.74,0.40559,0.27027,0.90946,0.95736,0.91489,0.97136,0.91434,0.45793,0.43847,0.91995,3.81424e-05,3.81424e-05,3.81424e-05
50,8230.63,0.40083,0.26747,0.90614,0.95393,0.91555,0.97083,0.91407,0.45813,0.43786,0.92076,2.29162e-05,2.29162e-05,2.29162e-05
